time,latitude,longitude,chl,uo,vo,fe,no3,po4,si,o2,ph,so,spco2,thetao,wo
2023-09-01,20.0,87.0,0.8182396,-0.0037866577,-0.1469497,0.0028897976,5.585776,0.003675649,3.5176618,202.72197,8.049036,26.570642,34.829315,30.136065,-3.1328007e-06
2023-09-01,21.25,89.25,0.8409296,-0.10873225,-0.05454127,0.0036348726,3.3166332,0.21591702,2.397051,203.09512,8.199811,23.371237,18.88167,30.427292,-4.7840267e-06
2023-09-01,21.25,89.0,0.86361074,-0.02893587,-0.18903331,0.0035683194,2.7577481,0.19239374,2.2707267,204.84744,8.225919,24.640774,17.91762,30.461515,-5.3430836e-06
2023-09-01,21.25,88.75,1.222282,0.105841465,-0.11541473,0.0038651829,2.2201364,0.14030744,2.2929783,209.87296,8.254051,17.83978,14.988601,31.057137,8.860409e-06
2023-09-01,21.25,88.5,1.5669719,-0.008059112,0.014459058,0.0035928518,1.7128015,0.11966439,2.29663,211.81906,8.290654,14.873719,13.517174,31.29883,4.2212046e-06
2023-09-01,21.25,88.25,1.7692974,-0.041230477,0.05060567,0.0036037383,1.6235697,0.1102122,2.0460827,212.19713,8.272293,18.160011,14.496815,31.052465,-4.0500404e-06
2023-09-01,21.25,88.0,2.3972008,-0.09500155,0.054166004,0.0036566383,1.6613233,0.075424284,1.5737039,213.45166,8.231298,19.017942,16.890875,31.150448,3.2876721e-07
2023-09-01,21.25,87.75,3.0991135,-0.10063756,-0.039919507,0.0037937392,2.0707366,0.036874603,1.4818026,213.27245,8.173236,19.621813,20.190262,31.383339,1.0064852e-05
2023-09-01,21.25,87.5,1.6032346,-0.18885146,0.13343607,0.003978349,3.6115234,0.0012449117,1.9103322,213.16942,8.09261,25.899014,25.28835,30.860836,-9.350514e-06
2023-09-01,21.25,87.25,1.020562,-0.15604518,-0.18063037,0.0049134255,6.347341,0.0008313887,3.0476134,211.61751,8.07471,23.592958,25.129845,31.259647,3.0370504e-06
2023-09-01,21.25,87.0,0.51864433,0.022775907,-0.1826596,0.006118128,5.58233,0.00074913126,5.222124,204.35657,8.066817,20.062153,26.755613,31.64507,3.8377038e-07
2023-09-01,21.0,91.0,0.98752743,0.30655518,0.17794293,0.004615062,41.091953,0.0016405475,4.293197,231.32944,8.18515,20.460546,28.16813,30.578035,-2.7656815e-06
2023-09-01,21.0,90.75,0.93852925,0.18621072,-0.028303254,0.0047681336,34.07931,0.0014428014,2.6385365,232.94734,8.151499,16.013403,28.095448,30.689558,5.487943e-06
2023-09-01,21.0,90.5,0.84248936,0.038908105,-0.15293857,0.00505212,19.813864,0.0011603666,2.6962636,236.864,8.118663,12.290262,27.47247,30.715109,1.865572e-06
2023-09-01,21.25,89.5,1.5143453,0.09164978,-0.016959233,0.004014493,6.021387,0.1758626,2.7147768,215.03864,8.204866,25.412151,17.765158,30.14377,2.195648e-06
2023-09-01,21.0,90.25,1.7756677,-0.22111775,0.35654938,0.004963206,7.0504823,0.004851228,2.610569,244.05453,8.136484,19.40442,24.474363,30.629568,-5.878081e-06
2023-09-01,21.0,89.75,0.6666968,0.110486224,-0.0047030905,0.0036724973,5.009818,0.25607356,2.6396437,198.26115,8.171931,24.065174,20.404665,30.22713,1.3780851e-06
2023-09-01,21.0,89.5,1.0016211,0.15228373,0.020412223,0.0035531232,5.57911,0.16832738,2.2418995,204.89183,8.178797,24.152124,20.991632,30.293768,4.217542e-06
2023-09-01,21.0,89.25,1.0018264,0.13293217,-0.06721328,0.003524257,6.598857,0.12085133,2.1906536,206.243,8.161061,24.469318,22.95976,30.35237,-1.0965795e-06
2023-09-01,21.0,89.0,0.97795963,0.124220505,0.02253375,0.0034387794,5.29121,0.10895894,2.1933599,204.95189,8.1468315,24.358337,24.198967,30.187979,5.6064996e-06
2023-09-01,21.0,88.75,1.2418557,0.005746406,0.045709573,0.0033257066,2.5180397,0.13179378,1.9500207,205.84613,8.181695,24.435198,21.19256,30.38527,-6.1360506e-06
2023-09-01,21.0,88.5,1.4695389,-0.12996432,0.08066019,0.003321132,2.0309284,0.13180928,1.7917168,207.43816,8.205912,24.167515,19.706518,30.52886,-8.725678e-06
2023-09-01,21.0,88.25,1.7713572,-0.29818344,0.052431773,0.0033439465,2.0826724,0.10839904,1.6103976,208.90094,8.188491,25.035744,20.681677,30.424362,-6.6374987e-06
2023-09-01,21.0,88.0,2.2457945,-0.21789037,-0.034119222,0.0034472498,2.4985106,0.07016451,1.4536579,209.65947,8.15276,24.749405,23.092373,30.544779,7.687676e-06
2023-09-01,21.0,87.75,0.6559745,-0.29385102,0.14688738,0.003493308,3.665506,0.0010607447,2.4391282,206.14455,8.042497,26.98508,33.86288,30.56651,6.582915e-07
2023-09-01,21.0,87.5,0.28245127,0.002701319,-0.06912131,0.0034622366,4.4307065,0.00046737198,3.4610748,204.83467,8.009402,27.35585,37.450928,30.885542,-7.272762e-07
2023-09-01,21.0,87.25,0.85887027,0.13658077,-0.2274153,0.004628487,6.2925243,0.0008544751,4.4153256,207.70139,8.013769,25.575743,33.371502,31.16721,-1.4186584e-06
2023-09-01,21.0,87.0,3.6469707,0.16606644,-0.10352934,0.0062489547,10.256413,0.020297235,7.7637334,208.40086,8.015997,21.405468,28.178741,31.344662,4.784388e-06
2023-09-01,20.75,91.0,0.44947463,0.03377083,0.025828766,0.0041165124,25.854624,0.001025794,5.2480254,218.10982,8.152645,19.113644,30.670422,30.496405,-2.729797e-07
2023-09-01,21.0,90.0,1.5412849,0.14294074,-0.14898083,0.004523759,6.0287437,0.1916825,3.585609,218.73274,8.145306,24.182817,23.372091,30.668594,5.601687e-06
2023-09-01,21.25,90.0,14.022318,-0.27686507,-0.02606811,0.024609346,67.345695,0.906005,14.732689,320.41254,7.8426275,22.665087,63.010086,30.27089,9.489477e-06
2023-09-01,21.25,90.25,6.7590218,-0.38452986,0.3819538,0.015186331,64.58359,0.5207087,15.597942,270.39355,8.0504,16.735758,40.994442,30.527395,-2.4424107e-05
2023-09-01,21.25,90.5,1.9314703,-0.31940553,-0.025898835,0.0058576004,48.752777,0.0024851745,8.016216,257.6405,8.358459,4.889221,19.025906,30.655396,-5.755827e-06
2023-09-01,22.5,91.0,9.633228,0.019093046,0.03788067,0.019524405,79.222336,1.0269028,10.278306,308.68848,7.6647763,1.4644375,159.11578,30.139988,-2.5166162e-06
2023-09-01,22.25,91.0,20.32768,0.008276742,-0.0038433669,0.024301665,97.15481,0.6585061,17.313498,487.93878,8.134315,1.4991592,95.56749,30.698431,-6.276262e-07
2023-09-01,22.0,90.75,20.022795,-0.0014947571,0.010475774,0.019132307,97.239204,0.079654075,29.598845,475.7561,8.538872,1.0619004,15.226468,30.669592,-9.1295243e-07
2023-09-01,22.0,90.5,18.522892,-0.005322775,0.006135444,0.018622568,88.285065,0.057515785,24.703276,434.03134,8.504396,0.9791879,13.567356,30.74079,-1.2910216e-06
2023-09-01,21.75,91.0,20.967873,-0.004677715,0.013010199,0.018236706,105.27027,0.04722837,41.565807,436.80334,8.496718,0.9120344,16.729694,30.534231,-6.496091e-07
2023-09-01,21.75,90.75,20.029675,-0.006203562,0.0077355728,0.018149924,102.69643,0.047323965,41.83212,436.42667,8.5067835,0.98080057,15.614661,30.6617,-6.918472e-07
2023-09-01,21.75,90.5,20.419703,-0.014304249,0.00358879,0.019231606,98.99153,0.058254812,34.335064,441.6762,8.476362,1.5533552,15.753997,30.74528,-7.0673644e-07
2023-09-01,21.75,90.25,19.223667,-0.03357414,0.017207937,0.019194594,87.66651,0.071597144,26.842997,418.27277,8.424298,3.6273038,15.206774,30.808647,-1.5259963e-06
2023-09-01,21.75,90.0,9.303865,-0.046990134,0.016271636,0.0130845485,60.743526,0.0097116195,17.088612,346.49106,8.391233,5.51993,12.924683,30.828522,-5.3157265e-07
