time,latitude,longitude,kd,no3,fe,si,o2,so,chl
2023-11-15,20.0,87.0,0.05250890488363403,1.053655716884361,0.0010116520075033868,0.9614465282941181,5.369244965242718,25.942343,0.28102085
2023-11-15,20.0,87.25,0.05517264038516515,0.5017320421983194,0.0007871982281568198,0.9259576166196762,5.366051245836802,25.696281,0.3077567
2023-11-15,20.0,87.5,0.05972668467387116,0.059036630330984226,0.0006645205572990009,0.9305592506717104,5.351298735335937,30.31478,0.36176726
2023-11-15,20.0,87.75,0.0512818858224731,0.023145497400223723,0.0006429029935754062,0.9403686775467353,5.3390673424750155,32.78767,0.2694436
2023-11-15,20.0,88.0,0.050714627392095014,0.021913892105371067,0.000685950382234195,0.981673596453457,5.333885503698332,32.57533,0.26033336
2023-11-15,20.0,88.25,0.04439958729668442,0.01707199859916819,0.0007531657494568824,1.045482994073727,5.328723140105178,32.456966,0.20709361
2023-11-15,20.0,88.5,0.0415953434089025,0.015350672230170236,0.0008164061497890779,1.1225925825791077,5.327463559406191,32.468925,0.1747178
2023-11-15,20.0,88.75,0.04123700119307185,0.015013847508661662,0.0008293487951945373,1.1861960906801596,5.328601003121075,32.766113,0.17159641
2023-11-15,20.0,89.0,0.042527169642469866,0.015892003509855666,0.0008112348999712587,1.2313935166561536,5.330605160149637,33.025997,0.1832747
2023-11-15,20.0,89.25,0.04313801128174263,0.017113333011209042,0.000792628187265903,1.2541158529343792,5.331802238091274,32.87427,0.18917817
2023-11-15,20.0,89.5,0.04578033154514586,0.034168988111369626,0.0007893184562104926,1.2481669658943935,5.333887530315928,31.864996,0.2105737
2023-11-15,20.0,89.75,0.06071462811868727,0.8395752029974255,0.0008827466644923606,1.3063195782227477,5.3492897194393745,27.859371,0.37258893
2023-11-15,20.0,90.0,0.04865325956032842,1.8573802794794163,0.0012961424443476567,1.5224035533622027,5.36297478686682,26.770473,0.24208288
2023-11-15,20.0,90.25,0.04580471787043315,2.1984054354043687,0.0016041931937744616,1.6643848939702237,5.373405172793225,26.870115,0.21080166
2023-11-15,20.0,90.5,0.047064921555782985,2.3167081908813656,0.0017870441849531333,1.7791065070547394,5.3747275152300364,27.49307,0.22276054
2023-11-15,20.0,90.75,0.048554350653324495,2.378032674613064,0.0019270780916969092,1.8691441243308198,5.3739216543771695,25.173855,0.23610276
2023-11-15,20.0,91.0,0.049226893551175724,2.4201619740687,0.002042188013831359,1.9216348743673635,5.379242300330267,25.720678,0.24874921
2023-11-15,20.25,87.0,0.07254018166937456,1.405112312605456,0.002081652357552548,1.23876815344565,5.381724439162886,24.828074,0.51832396
2023-11-15,20.25,87.25,0.05281327013891238,1.1716940868663435,0.0011555135370160858,0.9918900685336425,5.375197108083146,24.952812,0.27854812
